hash_inn,y
9050,12
9057,14
9063,12
9064,12
9068,14
9069,12
9076,12
9084,12
9093,12
9110,12
9111,12
9132,34
9138,12
9145,12
9154,12
9158,12
9164,12
9174,12
9207,12
9223,12
9227,34
9238,12
9239,14
9254,12
9261,12
9264,14
9277,12
9279,12
9284,14
9285,12
9286,14
9295,12
9313,12
9317,14
9332,34
9343,12
9361,12
9369,12
9373,34
9382,12
9383,14
9385,12
9394,12
9409,12
9424,14
9425,52
9427,14
9440,12
9451,12
9477,12
9481,20
9492,14
9511,12
9521,12
9528,12
9544,26
9549,12
9579,12
9598,52
9601,12
9616,12
9631,12
9633,12
9639,12
9641,52
9645,52
9649,11
9663,12
9691,14
9699,12
9705,12
9707,52
9708,12
9714,12
9725,12
9728,12
9750,52
9766,12
9772,12
9773,12
9781,12
9785,14
9794,12
9843,12
9867,12
9881,12
9886,12
9889,12
9899,12
9908,12
9910,12
9911,11
9919,12
9920,12
9921,12
9925,34
9930,4
9931,12
9968,12
9970,12
9975,12
9993,12
9996,12
10004,52
10008,12
10011,12
10022,34
10030,12
10067,12
10074,12
10076,14
10080,12
10082,12
10091,14
10094,12
10098,12
10109,14
10111,12
10126,12
10131,12
10139,12
10151,12
10153,12
10157,12
10159,12
10169,12
10173,34
10175,12
10196,14
10197,12
10201,12
10208,12
10209,14
10223,12
10225,12
10239,12
10240,12
10245,12
10260,12
10270,12
10277,12
10284,12
10295,12
10306,12
10313,12
10315,12
10322,12
10333,12
10344,12
10346,12
10362,12
10363,12
10368,12
10371,12
10373,14
10375,14
10382,12
10396,12
10399,12
10412,12
10418,12
10424,12
10476,12
10491,12
10499,12
10503,12
10514,34
10541,12
10555,12
10568,52
10571,12
10581,12
10587,14
10597,14
10599,12
10601,14
10607,12
10625,12
10628,12
10641,12
10652,34
10658,12
10673,12
10676,12
10681,14
10692,12
10696,12
10698,12
10707,34
10713,12
10726,12
10734,12
10737,12
10766,12
10767,12
10770,12
10772,12
10775,12
10810,52
10831,12
10837,12
10838,12
10842,34
10843,12
10852,12
10868,12
10871,12
10872,12
10876,12
10887,12
10888,12
10893,34
10894,12
10900,39
10918,34
10937,12
10940,12
10955,12
10965,14
10974,12
10976,34
10981,14
10983,12
10992,39
10996,12
11022,12
11043,12
11047,12
11049,12
11054,12
11074,12
11075,12
11076,12
11096,12
11110,12
11111,12
11127,12
11132,14
11152,14
11156,12
11157,12
11165,12
11169,12
11178,12
11189,12
11194,12
11215,14
11218,12
11221,12
11233,12
11239,34
11257,12
11270,52
11271,12
11276,12
11282,14
11293,12
11299,12
11319,12
11341,12
11363,12
11364,12
11366,12
11373,12
11402,12
11414,12
11426,52
11432,12
11448,12
11450,12
11453,12
11466,12
11480,12
11500,12
11511,12
11521,12
11526,12
11547,12
11550,12
11559,12
11561,12
11562,12
11563,34
11566,12
11569,12
11574,12
11578,52
11594,12
11599,12
11600,12
11614,12
11618,12
11622,12
11624,12
11638,14
11661,14
11665,12
11684,12
11698,14
11710,12
11729,34
11739,12
11740,12
11744,14
11767,12
11780,34
11783,34
11787,12
11798,12
11804,12
11810,12
11815,12
11828,14
11836,14
11841,12
11842,12
11844,12
11848,34
11850,12
11851,12
11887,52
11891,12
11915,12
11916,52
11919,12
11920,12
11940,34
11944,12
11955,12
11959,12
11970,12
11979,12
11981,12
11987,12
11993,12
12008,12
12017,12
12028,12
12048,34
12052,12
12056,12
12068,12
12069,12
12078,12
12079,12
12124,14
12130,12
12140,4
12153,12
12155,12
12163,12
12165,12
12171,12
12173,12
12192,12
12200,14
12210,12
12212,12
12220,34
12225,12
12231,12
12252,12
12263,12
12277,52
12293,12
12300,14
12303,14
12307,12
12318,12
12322,12
12338,12
12340,12
12341,12
12342,12
12358,14
12360,12
12366,12
12369,14
12371,12
12387,12
12390,12
12392,12
12407,12
12414,12
12416,14
12417,12
12431,12
12438,12
12452,12
12453,12
12456,12
12467,12
12469,12
12478,12
12480,14
12483,12
12503,12
12520,12
12521,14
12530,12
12539,12
12541,12
12543,12
12555,12
12557,12
12575,14
12578,12
12585,12
12593,22
12594,52
12595,12
12605,12
12608,12
12610,12
12616,12
12622,6
12624,44
12645,14
12646,12
12653,12
12655,12
12661,12
12670,14
12689,12
12706,12
12712,12
12725,12
12727,12
12731,34
12740,12
12742,12
12753,12
12756,12
12767,12
12779,12
12780,12
12783,12
12796,14
12821,12
12825,34
12833,12
12835,12
12855,12
12858,12
12860,12
12861,12
12865,12
12881,14
12933,12
12935,14
12961,12
12962,12
12970,12
12971,12
12974,12
13023,12
13037,12
13043,12
13047,14
13067,12
13070,12
13096,12
13129,12
13131,12
13138,12
13146,12
13147,12
13148,12
13155,12
13184,12
13186,12
13222,12
13237,12
13244,12
13247,12
13252,14
13259,12
13264,12
13266,34
13284,12
13299,12
13300,12
13302,12
13303,12
13307,12
13321,12
13325,12
13331,12
13334,14
13341,34
13348,12
13371,12
13375,12
13380,12
13385,12
13388,26
13397,12
13409,12
13415,34
13428,12
13436,12
13450,14
13457,34
13468,14
13471,12
13480,12
13487,12
13490,12
13521,12
13523,12
13528,12
13539,12
13551,12
13561,12
13562,16
13565,12
13574,12
13578,14
13588,12
13601,12
13604,12
13623,12
13646,12
13652,12
13661,12
13664,12
13666,12
13677,12
13680,12
13683,12
13686,12
13699,34
13703,12
13712,12
13715,14
13717,12
13732,12
13752,14
13766,12
13769,14
13779,12
13791,54
13795,12
13796,12
13801,12
13812,12
13815,12
13841,52
13845,12
13850,53
13851,12
13866,12
13883,12
13886,12
13889,12
13900,12
13911,12
13941,14
13947,12
13959,12
13976,14
13980,52
13988,34
13991,12
13998,14
14005,12
14024,14
14034,14
14049,12
14052,12
14054,12
14058,12
14067,12
14077,14
14081,12
14087,14
14098,12
14112,12
14113,12
14139,12
14149,12
14167,12
14197,12
14218,12
14219,12
14220,12
14225,12
14226,12
14229,14
14256,12
14267,12
14276,14
14297,12
14300,12
14307,12
14319,12
14323,12
14331,14
14338,12
14348,12
14377,12
14380,12
14384,12
14392,12
14394,14
14408,12
14413,14
14416,12
14420,12
14441,12
14446,14
14454,12
14460,12
14463,12
14482,34
14484,12
14487,12
14489,12
14498,14
14505,12
14509,34
14515,12
14520,12
14521,12
14532,12
14543,12
14546,12
14575,52
14578,12
14600,12
14602,52
14626,12
14640,12
14645,12
14658,12
14669,12
14673,12
14675,12
14680,12
14682,26
14694,12
14716,12
14721,12
14725,12
14727,52
14729,12
14733,52
14756,12
14758,12
14769,12
14787,14
14790,12
14795,12
14799,12
14801,12
14809,12
14839,12
14848,12
14855,12
14857,12
14862,52
14865,12
14866,52
14869,12
14877,34
14880,14
14886,12
14889,12
14894,12
14908,12
14913,12
14917,12
14920,12
14931,12
14947,12
14948,12
14949,12
14952,12
14954,12
14972,12
14974,39
14975,52
14980,12
14999,12
15008,12
15025,12
15062,54
15094,14
15098,12
15101,14
15117,12
15123,34
15124,14
15131,34
15136,14
15155,12
15173,14
15186,12
15212,12
15221,12
15235,11
15241,12
15242,12
15248,12
15254,12
15261,12
15263,12
15283,12
15296,12
15307,12
15311,12
15313,14
15325,12
15327,34
15346,14
15347,12
15355,34
15360,12
15380,12
15391,12
15393,12
15410,12
15421,34
15435,12
15436,12
15437,12
15442,12
15444,34
15458,12
15470,14
15485,12
15494,12
15499,12
15500,12
15520,12
15533,12
15544,12
15556,52
15567,12
15581,12
15587,14
15592,12
15599,12
15618,12
15640,12
15668,12
15678,12
15687,26
15697,12
15701,12
15704,12
15706,12
15707,14
15710,12
15715,14
15720,12
15725,52
15733,14
15738,12
15739,14
15740,14
15743,12
15754,12
15756,12
15771,12
15777,12
15790,12
15792,12
15805,12
15823,12
15848,12
15857,12
15866,12
15871,14
15880,34
15885,14
15899,12
15904,12
15923,14
15927,12
15939,12
15943,12
15964,12
15966,12
15971,34
15973,12
15981,12
15986,12
15987,12
16009,12
16011,12
16029,14
16038,12
16048,12
16069,12
16080,34
16081,12
16088,12
16094,12
16099,12
16133,14
16147,12
16155,12
16160,12
16161,12
16168,12
16169,34
16180,12
16194,14
16208,52
16213,14
16221,52
16234,71
16242,12
16250,12
16258,12
16261,12
16268,12
16276,12
16277,12
16282,14
16301,12
16303,12
16312,34
16329,12
16333,12
16334,12
16347,12
16350,12
16355,12
16359,12
16367,12
16382,12
16384,12
16391,12
16408,12
16412,12
16415,12
16424,12
16425,12
16441,12
16443,14
16451,12
16482,12
16491,12
16492,12
16494,12
16496,12
16501,12
16502,12
16517,14
16525,12
16527,12
16536,12
16551,12
16557,12
16560,12
16581,12
16584,12
16601,12
16632,12
16633,12
16634,12
16636,12
16639,12
16645,12
16660,12
16662,12
16663,12
16670,12
16675,12
16678,52
16685,12
16688,14
16693,12
16700,12
16714,12
16716,14
16717,12
16722,52
16723,12
16733,12
16751,12
16759,12
16762,12
16769,12
16777,12
16782,12
16789,12
16800,12
16808,12
16809,26
16813,34
16819,12
16822,12
16833,12
16838,12
16842,14
16843,12
16850,12
16856,14
16859,12
16867,12
16869,12
16874,12
16879,12
16908,12
16911,12
16917,12
16929,12
16934,12
16945,12
16951,34
16957,12
16986,12
16997,12
16998,12
16999,12
17000,26
17005,12
17024,12
17030,12
17042,39
17048,12
17049,12
17080,12
17105,12
17126,12
17140,14
17161,34
17163,12
17176,12
17186,14
17195,12
17199,12
17212,12
17224,12
17245,12
17246,54
17253,12
17256,14
17266,12
17268,12
17270,52
17273,12
17274,12
17283,12
17287,12
17306,12
17307,12
17309,12
17320,12
17326,12
17327,12
17330,12
17334,12
17358,20
17368,12
17385,12
17392,12
17399,12
17400,12
17402,12
17403,11
17417,12
17418,14
17424,12
17447,12
17448,12
17470,12
17471,12
17476,12
17480,12
17483,12
17485,12
17490,12
17494,12
17502,12
17514,12
17525,12
17527,12
17528,34
17542,12
17572,6
17577,12
17588,12
17592,12
17599,34
17608,12
17610,12
17612,12
17620,12
17622,12
17641,12
17651,12
17657,12
17658,12
17659,12
17661,12
17667,12
17706,12
17716,14
17719,52
17734,12
17737,12
17752,12
17780,12
17793,12
17797,52
17805,14
17806,12
17807,12
17812,12
17814,12
17816,14
17825,14
17826,12
17838,34
17840,12
17842,14
17843,12
17859,12
17863,14
17871,12
17873,14
17877,12
17888,12
17894,14
17897,12
17899,12
17904,12
17910,12
17919,12
17943,12
17978,14
17994,12
17995,12
18019,12
18020,14
18051,12
18059,12
18067,12
18072,12
18077,12
18078,34
18083,12
18085,12
18104,12
18136,12
18139,12
18140,12
18145,12
18153,34
18154,12
18166,12
18174,12
18192,12
18196,12
18210,14
18213,12
18216,12
18221,11
18224,12
18225,12
18237,12
18238,34
18239,12
18242,12
18265,34
18266,12
18270,12
18271,12
18286,14
18303,12
18310,12
18320,12
18329,14
18335,12
18344,12
18347,14
18384,54
18402,12
18405,12
18407,12
18413,12
18428,12
18450,12
18453,34
18458,12
18464,12
18472,12
18480,12
18500,26
18508,12
18522,12
18543,39
18545,12
18561,12
18567,12
18570,12
18579,14
18585,12
18593,14
18595,52
18608,12
18610,12
18617,12
18632,34
18639,12
18641,12
18647,12
18655,34
18656,12
18669,12
18672,12
18677,12
18685,12
18686,12
18697,12
18700,12
18713,14
18720,12
18732,12
18735,12
18742,12
18769,12
18782,12
18792,12
18795,12
18796,12
18799,12
18807,12
18810,12
18812,12
18848,12
18858,12
18863,12
18864,34
18865,12
18875,12
18892,12
18901,12
18909,12
18917,52
18930,12
18932,12
18942,14
18954,12
18955,12
18970,52
18973,12
18974,9
18981,12
18995,52
18996,12
18997,52
19014,12
19023,12
19027,12
19035,12
19044,52
19052,12
19060,12
19078,12
19080,12
19087,12
19090,14
19091,12
19095,12
19100,12
19113,12
19124,12
19128,34
19161,12
19171,12
19179,12
19186,14
19188,12
19189,12
19191,12
19200,12
19202,12
19217,34
19218,12
19243,12
19252,12
19255,12
19259,12
19267,12
19288,12
19310,12
19315,12
19320,12
19336,12
19348,12
19351,12
19357,12
19364,12
19370,12
19390,12
19392,12
19393,14
19398,12
19409,12
19412,12
19420,11
19429,12
19437,12
19442,12
19444,12
19445,12
19447,12
19475,12
19493,12
19505,52
19507,12
19509,12
19529,12
19531,12
19534,14
19536,12
19538,12
19540,52
19545,12
19551,14
19559,14
19569,12
19573,12
19575,12
19582,12
19589,12
19605,14
19612,12
19616,12
19618,12
19627,12
19629,14
19648,12
19649,12
19651,12
19665,12
19668,14
19675,12
19682,14
19689,12
19696,12
19699,12
19700,12
19701,12
19713,12
19715,12
19723,12
19726,12
19733,12
19764,14
19769,68
19775,12
19780,52
19792,12
19825,34
19828,12
19842,14
19848,12
19851,46
19855,12
19862,12
19869,14
19886,12
19909,12
19914,12
19915,12
19916,12
19920,12
19941,12
19943,12
19967,12
19970,12
19979,14
19981,12
19987,12
19994,12
20008,12
20013,12
20014,12
20020,34
20031,12
20070,12
20072,14
20074,12
20083,12
20087,12
20092,12
20094,12
20097,34
20103,12
20117,12
20121,12
20139,12
20161,12
20178,52
20184,12
20191,12
20206,12
20209,12
20222,14
20228,12
20244,12
20252,12
20256,14
20260,12
20268,12
20273,12
20282,12
20284,12
20288,12
20292,12
20315,14
20366,12
20371,52
20379,34
20399,52
20405,12
20424,12
20429,12
20438,12
20441,12
20449,12
20454,12
20459,12
20461,14
20462,12
20476,34
20481,14
20495,12
20498,12
20499,12
20516,12
20523,12
20528,12
20533,12
20545,12
20556,12
20563,12
20568,12
20569,12
20571,12
20586,12
20622,12
20624,12
20628,34
20635,12
20668,12
20679,52
20684,12
20692,12
20701,12
20704,12
20711,12
20730,12
20762,12
20768,12
20770,12
20771,12
20776,12
20780,12
20781,11
20803,14
20812,12
20817,12
20831,12
20859,12
20878,14
20884,12
20887,12
20895,12
20911,14
20913,12
20921,12
20923,12
20941,52
20948,12
20957,12
20975,12
20983,12
20986,12
20990,12
20997,12
21001,12
21008,12
21013,12
21025,12
21030,12
21039,52
21060,12
21070,12
21091,12
21098,12
21100,12
21111,12
21118,14
21132,52
21148,12
21155,12
21167,12
21173,12
21192,14
21208,12
21225,12
21227,12
21228,12
21248,12
21252,12
21257,6
21263,34
21283,14
21292,12
21296,52
21305,14
21316,14
21321,12
21341,12
21347,12
21356,12
21358,12
21363,12
21383,12
21390,12
21407,12
21411,14
21412,34
21414,52
21420,12
21426,12
21433,12
21446,12
21449,12
21457,12
21482,34
21499,12
21513,14
21523,12
21528,12
21542,12
21547,52
21551,12
21561,12
21565,12
21569,14
21571,12
21576,12
21583,12
21595,12
21605,12
21607,12
21616,12
21645,12
21658,12
21662,12
21663,14
21664,12
21666,12
21670,14
21674,12
21676,12
21684,43
21696,12
21711,14
21725,12
21728,55
21730,12
21733,34
21741,12
21743,14
21746,52
21768,12
21769,12
21779,12
21794,12
21797,12
21829,12
21839,12
21856,12
21868,12
21873,34
21879,12
21882,12
21888,14
21893,12
21894,12
21896,12
21900,12
21924,12
21930,12
21947,12
21948,12
21952,12
21953,12
21960,12
21967,12
21972,12
21974,12
21981,12
21983,14
21991,12
21999,12
22014,12
22015,52
22018,12
22019,12
22037,12
22041,14
22050,12
22077,12
22079,12
22083,12
22092,14
22097,11
22102,12
22107,12
22114,14
22124,12
22139,12
22149,12
22166,12
22171,12
22176,12
22183,52
22204,12
22214,14
22227,12
22295,12
22310,12
22324,12
22331,12
22336,12
22337,12
22371,12
22392,12
22404,12
22406,14
22407,12
22409,12
22412,12
22416,14
22417,12
22419,12
22420,12
22425,12
22427,14
22447,12
22473,12
22474,12
22482,12
22513,12
22524,14
22530,12
22537,12
22547,12
22549,12
22559,12
22567,12
22571,14
22590,12
22593,12
22597,12
22600,12
22606,12
22608,34
22609,12
22619,12
22620,12
22629,12
22648,12
22662,52
22671,12
22673,12
22675,12
22686,12
22703,12
22704,14
22706,12
22709,12
22712,12
22714,12
22761,12
22769,12
22777,12
22787,12
22788,12
22799,12
22804,12
22836,6
22840,12
22843,12
22844,12
22849,12
22860,12
22873,12
22884,12
22885,12
22887,12
22897,12
22900,12
22903,12
22904,12
22905,34
22920,12
22925,12
22933,12
22945,34
22947,39
22950,12
22955,52
22980,12
23004,26
23015,12
23032,12
23042,12
23046,12
23047,12
23048,12
23050,12
23063,14
23070,12
23088,12
23096,12
23130,12
23137,12
23140,12
23159,12
23174,12
23184,12
23185,12
23211,12
23213,52
23226,12
23236,12
23257,12
23268,34
23274,12
23280,12
23292,12
23303,12
23324,9
23336,12
23340,12
23351,12
23352,12
23377,12
23390,12
23405,12
23425,12
23439,12
23441,12
23442,12
23456,34
23468,12
23477,34
23493,12
23497,14
23522,12
23526,12
23533,12
23543,12
23552,12
23553,12
23554,12
23559,12
23581,12
23585,34
23590,12
23612,12
23617,12
23619,12
23632,14
23675,12
23689,34
23696,12
23703,12
23711,46
23719,12
23721,14
23730,34
23753,12
23756,12
23761,12
23763,12
23771,12
23775,12
23776,14
23780,12
23789,12
23798,12
23799,12
23803,12
23808,12
23820,12
23837,12
23860,34
23867,34
23868,12
23899,12
23911,52
23913,12
23933,12
23946,12
23952,12
23956,12
23979,12
23983,26
23985,52
23989,12
23994,12
24007,12
24008,12
24021,12
24032,12
24034,12
24051,12
24074,12
24080,12
24082,12
24092,12
24099,12
24117,12
24121,12
24124,12
24125,12
24141,12
24147,12
24154,12
24158,12
24163,12
24164,14
24167,12
24178,14
24181,12
24213,12
